ordertypeid,name,validated_cpt_code
439723,"psychologist, psychotherapy referral",90792
439725,registered dietitian referral,97602
439727,"respiratory therapist, pulmonary rehabilitation referral",97605
439728,speech language pathologist referral,92553
439729,substance use rehabilitation facility referral,99215
439730,substance use counselor referral,90792
439731,substance use psychologist referral,90792
439732,cardiothoracic vascular surgeon referral,99203
439733,transplant surgeon referral,99213
439734,vehicle modifications contractor referral,99213
440040,trauma surgeon referral,99213
440141,dance therapist referral,97112
440142,kinesiotherapist referral,97110
440209,pharmacist referral,99213
440267,ocularist referral,99213
440327,clinical exercise physiologist referral,97110
440329,ESRD treatment center referral,99213
440330,geriatric physical therapist referral,97110
440331,hospital epilepsy unit referral,99213
440332,neurologic physical therapist referral,97112
440333,oncology clinic referral,99213
440334,substance use disorder rehabilitation unit referral,99316
440335,registered nurse referral,99347
440519,psychiatric hospital referral,90792
440520,hospital psychiatric unit referral,99215
441618,adult care home referral,99213
441743,homemaker referral,99213
441811,"occupational therapist, physical rehabilitation referral",97110
441914,physician assistant referral,99213
442920,adult companion referral,99203
444819,pulmonary function technologist referral,94010
445053,osteopathic manipulative medicine physician referral,97140
445182,"optometrist, low vision rehabilitation referral",99213
445753,research study specialist referral,99213
453256,gender-affirming surgeon referral,97110
460432,geriatric psychiatrist referral,99213
462170,birthing center referral,99221
485829,nursing facility referral,99213
496103,denturist referral,99202
496275,"occupational therapist, environmental modification referral",97150
496541,psychiatric-mental health nurse practitioner referral,90792
497021,clinical psychologist referral,99213
497030,family nurse practitioner referral,99213
497640,adult reconstructive orthopedic surgeon referral,99213
498636,intellectual disability psychiatrist referral,90792
498968,referral to smoking cessation advisor,99359
498969,referral to smoking cessation clinic,99359
518495,comprehensive outpatient rehabilitation facility referral,97010
518693,dental laboratory technician referral,99213
518886,computed tomography radiologist technician referral,99203
518887,nuclear imaging and therapy specialist referral,99204
519204,medical laboratory technologist referral,99203
523781,personal care attendant referral,99213
523939,"occupational therapist, low vision referral",97116
524105,doula referral,99203
524841,SDoH referral: legal assistance,99403
524842,SDoH referral: tutoring program,99404
524843,SDoH referral: adult learning center,99213
524844,SDoH referral: job center,99204
524845,SDoH referral: basic skills training program,99213
524846,SDoH referral: financial assistance program,99454
524847,SDoH referral: language interpretation service,99221
524848,SDoH referral: document translation service,99203
524849,SDoH referral: workforce transition program,99213
524850,SDoH referral: telephone social support program,99467
524851,SDoH referral: ecotherapy,99495
524852,SDOH referral: Mindfulness Based Stress Reduction program,97124
524853,SDoH referral: microenterprise development program,99202
524854,SDoH referral: vocational rehabilitation services,97154
524856,SDoH referral: benefits enrollment assistance program,99202
524858,SDoH referral: Child and Adult Care Food Program,99213
524859,SDoH referral: Gus Schumacher Nutrition Incentive-funded Program,99203
524861,SDoH referral: garden program,97156
524863,SDoH referral: medically tailored meal program,99213
524864,SDoH referral: Supplemental Nutrition Assistance Program,99203
524865,"SDoH referral: Special Supplemental Nutrition Program for Women, Infants and Children",99202
524866,SDoH referral: Summer Food Service Program,99203
524867,SDoH referral: community health worker,99202
524870,"SDoH referral: Farmers' Market Nutrition Program for Women, Infants and Children",99213
524871,SDoH referral: Senior Farmers' Market Nutrition Program,99203
524872,SDoH referral: Food Distribution Program on Indian Reservations,99213
524873,SDoH referral: national school lunch program,99213
524874,SDoH referral: school breakfast program,99213
524875,SDoH referral: weatherization assistance program,99203
524877,SDoH referral: street outreach program,99213
524880,SDoH referral: mortgage assistance program,99203
524881,SDoH referral: fair housing assistance program,99404
524882,SDoH referral: day shelter program,90792
524883,SDoH referral: emergency shelter program,99213
524884,SDoH referral: Coordinated Entry Program,99213
524885,SDoH referral: community development financial institution,99213
524886,SDoH referral: community development corporation,99466
524887,SDoH referral: area agency on aging,99203
524888,SDoH referral: tenants rights organization program,99203
524891,SDoH referral: medical legal partnership program,99213
524893,SDoH referral: environmental hazard testing of residence program,99213
524895,SDoH referral: housing repair assessment program,99203
524896,SDoH referral: emergency housing fund program,99213
524897,SDoH referral: lawyer,99213
524898,SDoH referral: taxi voucher program,99213
524899,SDoH referral: vehicle donation program,99213
524901,SDoH referral: volunteer driver program,99213
524902,SDoH referral: rideshare program,99213
