ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
294262,clinical therapist referral,97154,0.0,0.0,0.0,0.0
294263,obesity/metabolism referral,99213,1.3,1.35,0.57,0.1
294336,davita empower program referral,99213,1.3,1.35,0.57,0.1
294880,renal transplant evaluation referral,99213,1.3,1.35,0.57,0.1
294980,surgery center referral,99213,1.3,1.35,0.57,0.1
295460,dialysis referral,99213,1.3,1.35,0.57,0.1
295603,endocrinology referral,99213,1.3,1.35,0.57,0.1
295645,primary care provider referral,99213,1.3,1.35,0.57,0.1
295885,oral & maxillofacial referral,99203,1.6,1.61,0.69,0.16
295926,impairment rating referral,97602,0.0,0.0,0.0,0.0
295965,diabetic ophthalmology referral,99213,1.3,1.35,0.57,0.1
296647,healing touch referral,97610,0.4,11.87,0.12,0.01
296965,prepare for surgery counseling,99213,1.3,1.35,0.57,0.1
297261,ketogenic diet initiation,99213,1.3,1.35,0.57,0.1
297395,referral to smoking quit line,99214,1.92,1.8,0.83,0.15
298187,congestive heart failure clinic,99215,2.8,2.42,1.28,0.21
298886,women's health referral,99213,1.3,1.35,0.57,0.1
298906,chronic disease management referral,99213,1.3,1.35,0.57,0.1
299165,skilled nursing referral,99213,1.3,1.35,0.57,0.1
299306,hospitalist referral,99221,1.63,0.66,0.66,0.17
299825,arizona early intervention program referral,99203,1.6,1.61,0.69,0.16
299866,guided nurse referral,99213,1.3,1.35,0.57,0.1
300085,immunization referral,97140,0.43,0.4,0.4,0.01
300086,referral for smoking cessation counseling,97140,0.43,0.4,0.4,0.01
300926,pediatric neurologist referral,99215,2.8,2.42,1.28,0.21
301026,addiction medicine referral,99213,1.3,1.35,0.57,0.1
302466,urologic oncology referral,99203,1.6,1.61,0.69,0.16
302805,neuro-ophthalmologist referral,99213,1.3,1.35,0.57,0.1
302825,hypolipidemia referral,99213,1.3,1.35,0.57,0.1
302826,hyperlipidemia referral,99213,1.3,1.35,0.57,0.1
303765,stroke clinic referral,97602,0.0,0.0,0.0,0.0
304085,musculoskeletal treatment referral,99213,1.3,1.35,0.57,0.1
304669,pulmonary hypertension referral,99213,1.3,1.35,0.57,0.1
305325,augmentative and alternative communication (aac) referral,92507,1.3,0.99,0.99,0.03
305385,movement therapy referral,97610,0.4,11.87,0.12,0.01
305386,epileptologist referral,99204,2.6,2.21,1.15,0.24
305694,senior daycare referral,99213,1.3,1.35,0.57,0.1
306145,energy medicine referral,99203,1.6,1.61,0.69,0.16
306326,diabetes educator referral,99453,0.0,0.59,0.59,0.02
306685,neurological rehabilitation and balance referral,97112,0.5,0.48,0.48,0.01
307105,diabetes self management training,97140,0.43,0.4,0.4,0.01
